"Licence_number","Name","Address","Postcode","Reference","Alcohol OFF Sales/Supply","Alcohol ON Sales/Supply","Alcohol ON&OFF Sales/Supply","Late Night Refresh","longitude","latitude"
1,"Yun Feng Foods","  Yun Feng Foods, 18 Southwick Square, Southwick, West Sussex, BN42 4FJ","BN42 4FJ","LN/201000013","Alcohol OFF Sales/Supply",NA,NA,NA,-0.236854,50.834473
1,"Water Wellbeing Ltd (Edgars Water)","  Water Wellbeing Ltd (Edgars Water), Unit A1-A3, Dolphin Enterprise Centre, Evershed Way, Shoreham-By-Sea, West Sussex, BN43 6QB","BN43 6QB","LN/201500019","Alcohol OFF Sales/Supply",NA,NA,NA,-0.258308,50.83383
2,"Waterside Inn","  Waterside Inn, Lower Beach Road, Shoreham-By-Sea, West Sussex, BN43 5RA","BN43 5RA","LN/200500317",NA,NA,"Alcohol ON&OFF Sales/Supply","Late Night Refresh",-0.271918,50.829069
3,"West Street Loft","  West Street Loft, 20 West Street, Shoreham-By-Sea, West Sussex, BN43 5WG","BN43 5WG","LN/201200062",NA,"Alcohol ON Sales/Supply",NA,NA,-0.277398,50.833727
4,"Windmill Convenience Store","  Windmill Convenience Store, 3-4 Windmill Parade, 163-183 Old Shoreham Road, Southwick, West Sussex, BN42 4QB","BN42 4QB","LN/200500284","Alcohol OFF Sales/Supply",NA,NA,NA,-0.233106,50.840457
1,"V & P Convenience Store","  V & P Convenience Store, 391 Brighton Road, Lancing, West Sussex, BN15 8JX","BN15 8JX","LN/200500274","Alcohol OFF Sales/Supply",NA,NA,NA,-0.297227,50.825825
1,"TeamSport Indoor Karting","  TeamSport Indoor Karting, Unit 2, 30 Chartwell Road, Lancing, West Sussex, BN15 8TU","BN15 8TU","LN/201100150",NA,"Alcohol ON Sales/Supply",NA,NA,-0.333711,50.82324
2,"Tesco","  Tesco, Store, Holmbush Centre, Upper Shoreham Road, Shoreham-By-Sea, West Sussex, BN43 6TD","BN43 6TD","LN/200700236","Alcohol OFF Sales/Supply",NA,NA,NA,-0.251892,50.842098
3,"Tesco Express","  Tesco Express, 225 Upper Shoreham Road, Shoreham-By-Sea, West Sussex, BN43 6BE","BN43 6BE","LN/201200074","Alcohol OFF Sales/Supply",NA,NA,NA,-0.263195,50.839893
4,"The Amsterdam Inn","  The Amsterdam Inn, 467-471 Upper Shoreham Road, Shoreham-By-Sea, West Sussex, BN43 5WQ","BN43 5WQ","LN/200500343",NA,NA,"Alcohol ON&OFF Sales/Supply",NA,-0.28541,50.839514
5,"The Beach Shop","  The Beach Shop, 23-27 Ferry Road, Shoreham-By-Sea, West Sussex, BN43 5RA","BN43 5RA","LN/200500285","Alcohol OFF Sales/Supply",NA,NA,NA,-0.271918,50.829069
6,"The Bridge Inn","  The Bridge Inn, 87 High Street, Shoreham-By-Sea, West Sussex, BN43 5DE","BN43 5DE","LN/200500345",NA,NA,"Alcohol ON&OFF Sales/Supply","Late Night Refresh",-0.277713,50.832113
7,"The Buckingham Arms","  The Buckingham Arms, 35 Brunswick Road, Shoreham-By-Sea, West Sussex, BN43 5WA","BN43 5WA","LN/200500352",NA,"Alcohol ON Sales/Supply","Alcohol ON&OFF Sales/Supply","Late Night Refresh",-0.272847,50.833903
8,"The Crab Tree","  The Crab Tree, The Crab Tree, 6 Buckingham Road, Shoreham-By-Sea, West Sussex, BN43 5UA","BN43 5UA","LN/200500335",NA,NA,"Alcohol ON&OFF Sales/Supply","Late Night Refresh",-0.272374,50.83522
9,"The Crabtree PH","  The Crabtree PH, The Crabtree, 140 Crabtree Lane, Lancing, West Sussex, BN15 9NQ","BN15 9NQ","LN/200500324",NA,"Alcohol ON Sales/Supply","Alcohol ON&OFF Sales/Supply","Late Night Refresh",-0.329068,50.832392
10,"The Harbour Club","  The Harbour Club, Harbour Way, Shoreham-By-Sea, West Sussex, BN43 5HG","BN43 5HG","LN/200900051",NA,"Alcohol ON Sales/Supply",NA,"Late Night Refresh",-0.263153,50.829559
