Licence Number,Licence Description,Licence Type,Licence Status,Licensee,Additional Licensee,Trading Name,Dtf Location,Start Date,Expiry Date,Council Area
5816,Licensing Act 2003,Premises Licence,Granted,Mrs Yun-Hong Guo,,China Royal,"12 Queensway, Bognor Regis, West Sussex, PO21 1QT",07/11/2005,,
5817,Licensing Act 2003,Premises Licence,Granted,Ms Doreen Rosemary Stubbings,,Selwood Lodge,"SELWOOD LODGE, 93, Victoria Drive, BOGNOR REGIS, West Sussex, PO21 2DZ",24/11/2005,,
5836,Licensing Act 2003,Premises Licence,Granted,Rustington Golf Centre Ltd,,Rustington Golf Centre,"RUSTINGTON GOLF CENTRE, Golfers Lane, Angmering, LITTLEHAMPTON, West Sussex, BN16 4NB",02/11/2015,,
5861,Licensing Act 2003,Premises Licence,Granted,Pagham Village Hall Trust,,Pagham Village Hall/village Pre-school,"PAGHAM VILLAGE HALL, Pagham Road, Pagham, BOGNOR REGIS, West Sussex, PO21 4NJ",24/11/2005,,
5862,Licensing Act 2003,Premises Licence,Granted,Felpham Memorial Village Hall - Felpham Village Hall Committee,,Felpham Memorial Village Hall,"VILLAGE HALL, 17 - 19, Vicarage Lane, Felpham, BOGNOR REGIS, West Sussex, PO22 7DZ",07/11/2005,,
6327,Licensing Act 2003,Premises Licence,Granted,UMUT 2010 Ltd - The Sussex Fryer,,The Sussex Fryer,"23 West Street, BOGNOR REGIS, West Sussex, PO21 1XA",24/05/2010,,Arun
6346,Licensing Act 2003,Premises Licence,Granted,Mrs Samantha Jane Walker,,Arundel Brewery Ltd,"Unit C7 And C10, Ford Airfield Industrial Estate, Rollaston Park, Ford, Arundel, West Sussex, BN18 0HY",25/11/2016,,Arun
6350,Licensing Act 2003,Premises Licence,Granted,Findon Village Hall Trust,,Findon Village Hall,"FINDON VILLAGE HALL, High Street, Findon, West Sussex",05/06/2014,,
6385,Licensing Act 2003,Premises Licence,Granted,Mr Dhawal Rameshchandra Shah,,Seaview Stores/t/a Range Help,"114 - 116 Sea Road, East Preston, Littlehampton, West Sussex, BN16 1NN",24/11/2005,,
6392,Licensing Act 2003,Premises Licence,Granted,Messrs David & Gary Hughes,,Bilsham Stores,"BILSHAM STORES, Bilsham Road, Yapton, ARUNDEL, West Sussex, BN18 0JG",07/11/2005,,Arun
6397,Licensing Act 2003,Premises Licence,Granted,Bersted Parish Council,,Senior's Luncheon Club,"COMMUNITY CENTRE, Chalcraft Lane, Bersted, BOGNOR REGIS, West Sussex, PO21 5TU",07/11/2005,,
6398,Licensing Act 2003,Premises Licence,Granted,Jubilee Village Hall Committee,,Jubilee Hall,"VILLAGE HALL, Elmer Road, Middleton-on-sea, West Sussex",24/11/2005,,Arun
6402,Licensing Act 2003,Premises Licence,Granted,Beachcroft Hotels Ltd,,Beachcroft Hotel & Restaurant,"BEACHCROFT HOTEL, Clyde Road, Felpham, BOGNOR REGIS, West Sussex, PO22 7AH",30/08/2018,,
6406,Licensing Act 2003,Premises Licence,Granted,Messrs K Sangaraseelan & K Indralingam,,C J S Food & News (best One),"1A, WOKING COURT, Guildford Road, Rustington, LITTLEHAMPTON, West Sussex, BN16 3RP",10/09/2015,,
6408,Licensing Act 2003,Premises Licence,Surrendered,Bairds Farm Shop Ltd,,Bairds Farm Shop Ltd,"Bairds Farm Shop, Crookthorn Lane, Climping, Littlehampton, West Sussex, BN17 5SN",13/05/2013,,Arun
6410,Licensing Act 2003,Premises Licence,Granted,Bourdin Noir Ltd,,Gun Inn,"THE GUN INN, High Street, Findon, WORTHING, West Sussex, BN14 0TA",09/12/2010,,Arun
6414,Licensing Act 2003,Premises Licence,Granted,West Meads Community Association,,West Meads Community Centre,"Community Centre, The Precinct, Aldwick, Bognor Regis, West Sussex, PO21 5SB",24/11/2005,,
6422,Licensing Act 2003,Premises Licence,Granted,Mr Joshy Joseph,,Hirange Supermarkets,"FUN AND WAI CONVENIENCE STORE, Westergate Street, Westergate, CHICHESTER, West Sussex, PO20 3QZ",03/08/2016,,Arun
6424,Licensing Act 2003,Premises Licence,Granted,Jd Wetherspoon PLC,,The George Inn,"14 - 18 Surrey Street, LITTLEHAMPTON, West Sussex, BN17 5BG",19/11/2017,,Arun
6425,Licensing Act 2003,Premises Licence,Granted,Burpham Village Committee,,Burpham Village Hall,"Burpham Village Hall, The Street, Burpham, Arundel, West Sussex, BN18 9RR",07/11/2005,,
6432,Licensing Act 2003,Premises Licence,Granted,Imolott Limited,,Norfolk Arms Hotel,"Norfolk Arms Hotel, 22, High Street, Arundel, West Sussex, BN18 9AB",02/01/2018,,
6435,Licensing Act 2003,Premises Licence,Granted,Bayship Ltd,,Aviator Bar & Restaurant (carlton Hotel),"THE CARLTON HOTEL, The Esplanade, BOGNOR REGIS, West Sussex, PO21 1NF",06/02/2018,,Arun
6443,Licensing Act 2003,Premises Licence,Suspended,Mr Michael Kavalieros,,River Breeze Restaurant,"56 - 57 Pier Road, LITTLEHAMPTON, West Sussex, BN17 5LP",24/11/2005,,Arun
6444,Licensing Act 2003,Premises Licence,Granted,Mrs M Patel,,Corner Shop,"109 - 111 Felpham Road, Felpham, BOGNOR REGIS, West Sussex, PO22 7PW",19/07/2013,,Arun
6453,Licensing Act 2003,Premises Licence,Granted,Punch Partnerships (PTL) Ltd,,Friary Arms,"FRIARY ARMS, Shripney Road, BOGNOR REGIS, West Sussex, PO22 9LN",05/03/2018,,
6454,Licensing Act 2003,Premises Licence,Granted,Addlott Ltd,,Kings Arms,"KINGS ARMS, 36, Tarrant Street, ARUNDEL, West Sussex, BN18 9DN",24/11/2005,,
6457,Licensing Act 2003,Premises Licence,Granted,Mrs Samantha Smith Mr Ian Smith,,Maypole Inn,"The Maypole Inn, Maypole Lane, Yapton, Arundel, West Sussex, BN18 0DP",05/11/2017,,
6464,Licensing Act 2003,Premises Licence,Granted,David Kibble Wines,,David Kibble Wines,"4, Orchard Crescent, Arundel Road, Fontwell, Arundel, West Sussex, BN18 0SD",24/11/2005,,
6466,Licensing Act 2003,Premises Licence,Granted,Mr Manuel Quirosa,,Restaurante Andalucia,"58 Ferring Street, Ferring, Worthing, West Sussex, BN12 5JP",09/02/2018,,
6468,Licensing Act 2003,Premises Licence,Granted,Mr Aziz Yagmur,,Charcoal Grill,"18 High Street, LITTLEHAMPTON, West Sussex, BN17 5EE",06/06/2016,,
6470,Licensing Act 2003,Premises Licence,Granted,Favourite Uk Pizza Ltd,,Favourite Pizza,"8A High Street, LITTLEHAMPTON, West Sussex, BN17 5EE",05/03/2018,,Arun
6483,Licensing Act 2003,Premises Licence,Granted,Punch Partnerships (PTL) Ltd,,Red Lion,"The Red Lion, 45, High Street, Arundel, West Sussex, BN18 9AG",05/03/2018,,Arun
