"Licence Number","Licence Description","Licence Type","Licence Status","Licensee","Additional Licensee","Trading Name","Dtf Location","Start Date","Expiry Date","Council Area","Postcode","longitude","latitude"
5816,"Licensing Act 2003","Premises Licence","Granted","Mrs Yun-Hong Guo",NA,"China Royal","12 Queensway, Bognor Regis, West Sussex, PO21 1QT","07/11/2005",NA,NA,"PO21 1QT",-0.67573,50.783601
5817,"Licensing Act 2003","Premises Licence","Granted","Ms Doreen Rosemary Stubbings",NA,"Selwood Lodge","SELWOOD LODGE, 93, Victoria Drive, BOGNOR REGIS, West Sussex, PO21 2DZ","24/11/2005",NA,NA,"PO21 2DZ",-0.679631,50.789384
5836,"Licensing Act 2003","Premises Licence","Granted","Rustington Golf Centre Ltd",NA,"Rustington Golf Centre","RUSTINGTON GOLF CENTRE, Golfers Lane, Angmering, LITTLEHAMPTON, West Sussex, BN16 4NB","02/11/2015",NA,NA,"BN16 4NB",-0.502348,50.822245
5861,"Licensing Act 2003","Premises Licence","Granted","Pagham Village Hall Trust",NA,"Pagham Village Hall/village Pre-school","PAGHAM VILLAGE HALL, Pagham Road, Pagham, BOGNOR REGIS, West Sussex, PO21 4NJ","24/11/2005",NA,NA,"PO21 4NJ",-0.738082,50.77781
5862,"Licensing Act 2003","Premises Licence","Granted","Felpham Memorial Village Hall - Felpham Village Hall Committee",NA,"Felpham Memorial Village Hall","VILLAGE HALL, 17 - 19, Vicarage Lane, Felpham, BOGNOR REGIS, West Sussex, PO22 7DZ","07/11/2005",NA,NA,"PO22 7DZ",-0.654173,50.788608
6327,"Licensing Act 2003","Premises Licence","Granted","UMUT 2010 Ltd - The Sussex Fryer",NA,"The Sussex Fryer","23 West Street, BOGNOR REGIS, West Sussex, PO21 1XA","24/05/2010",NA,"Arun","PO21 1XA",-0.678798,50.782207
6346,"Licensing Act 2003","Premises Licence","Granted","Mrs Samantha Jane Walker",NA,"Arundel Brewery Ltd","Unit C7 And C10, Ford Airfield Industrial Estate, Rollaston Park, Ford, Arundel, West Sussex, BN18 0HY","25/11/2016",NA,"Arun","BN18 0HY",-0.596401,50.819159
6350,"Licensing Act 2003","Premises Licence","Granted","Findon Village Hall Trust",NA,"Findon Village Hall","FINDON VILLAGE HALL, High Street, Findon, West Sussex","05/06/2014",NA,NA,"West Sussex",NA,NA
6385,"Licensing Act 2003","Premises Licence","Granted","Mr Dhawal Rameshchandra Shah",NA,"Seaview Stores/t/a Range Help","114 - 116 Sea Road, East Preston, Littlehampton, West Sussex, BN16 1NN","24/11/2005",NA,NA,"BN16 1NN",-0.48183,50.805117
6392,"Licensing Act 2003","Premises Licence","Granted","Messrs David & Gary Hughes",NA,"Bilsham Stores","BILSHAM STORES, Bilsham Road, Yapton, ARUNDEL, West Sussex, BN18 0JG","07/11/2005",NA,"Arun","BN18 0JG",-0.609698,50.816953
6397,"Licensing Act 2003","Premises Licence","Granted","Bersted Parish Council",NA,"Senior's Luncheon Club","COMMUNITY CENTRE, Chalcraft Lane, Bersted, BOGNOR REGIS, West Sussex, PO21 5TU","07/11/2005",NA,NA,"PO21 5TU",-0.696571,50.798055
6398,"Licensing Act 2003","Premises Licence","Granted","Jubilee Village Hall Committee",NA,"Jubilee Hall","VILLAGE HALL, Elmer Road, Middleton-on-sea, West Sussex","24/11/2005",NA,"Arun","West Sussex",NA,NA
6402,"Licensing Act 2003","Premises Licence","Granted","Beachcroft Hotels Ltd",NA,"Beachcroft Hotel & Restaurant","BEACHCROFT HOTEL, Clyde Road, Felpham, BOGNOR REGIS, West Sussex, PO22 7AH","30/08/2018",NA,NA,"PO22 7AH",-0.655613,50.785629
6406,"Licensing Act 2003","Premises Licence","Granted","Messrs K Sangaraseelan & K Indralingam",NA,"C J S Food & News (best One)","1A, WOKING COURT, Guildford Road, Rustington, LITTLEHAMPTON, West Sussex, BN16 3RP","10/09/2015",NA,NA,"BN16 3RP",-0.494977,50.814676
6408,"Licensing Act 2003","Premises Licence","Surrendered","Bairds Farm Shop Ltd",NA,"Bairds Farm Shop Ltd","Bairds Farm Shop, Crookthorn Lane, Climping, Littlehampton, West Sussex, BN17 5SN","13/05/2013",NA,"Arun","BN17 5SN",-0.575459,50.806909
6410,"Licensing Act 2003","Premises Licence","Granted","Bourdin Noir Ltd",NA,"Gun Inn","THE GUN INN, High Street, Findon, WORTHING, West Sussex, BN14 0TA","09/12/2010",NA,"Arun","BN14 0TA",-0.408218,50.866866
6414,"Licensing Act 2003","Premises Licence","Granted","West Meads Community Association",NA,"West Meads Community Centre","Community Centre, The Precinct, Aldwick, Bognor Regis, West Sussex, PO21 5SB","24/11/2005",NA,NA,"PO21 5SB",-0.701481,50.788299
6422,"Licensing Act 2003","Premises Licence","Granted","Mr Joshy Joseph",NA,"Hirange Supermarkets","FUN AND WAI CONVENIENCE STORE, Westergate Street, Westergate, CHICHESTER, West Sussex, PO20 3QZ","03/08/2016",NA,"Arun","PO20 3QZ",-0.668926,50.838113
6424,"Licensing Act 2003","Premises Licence","Granted","Jd Wetherspoon PLC",NA,"The George Inn","14 - 18 Surrey Street, LITTLEHAMPTON, West Sussex, BN17 5BG","19/11/2017",NA,"Arun","BN17 5BG",-0.54374,50.809297
6425,"Licensing Act 2003","Premises Licence","Granted","Burpham Village Committee",NA,"Burpham Village Hall","Burpham Village Hall, The Street, Burpham, Arundel, West Sussex, BN18 9RR","07/11/2005",NA,NA,"BN18 9RR",-0.523841,50.870343
6432,"Licensing Act 2003","Premises Licence","Granted","Imolott Limited",NA,"Norfolk Arms Hotel","Norfolk Arms Hotel, 22, High Street, Arundel, West Sussex, BN18 9AB","02/01/2018",NA,NA,"BN18 9AB",-0.553425,50.85583
6435,"Licensing Act 2003","Premises Licence","Granted","Bayship Ltd",NA,"Aviator Bar & Restaurant (carlton Hotel)","THE CARLTON HOTEL, The Esplanade, BOGNOR REGIS, West Sussex, PO21 1NF","06/02/2018",NA,"Arun","PO21 1NF",-0.674205,50.782101
6443,"Licensing Act 2003","Premises Licence","Suspended","Mr Michael Kavalieros",NA,"River Breeze Restaurant","56 - 57 Pier Road, LITTLEHAMPTON, West Sussex, BN17 5LP","24/11/2005",NA,"Arun","BN17 5LP",-0.542748,50.805138
6444,"Licensing Act 2003","Premises Licence","Granted","Mrs M Patel",NA,"Corner Shop","109 - 111 Felpham Road, Felpham, BOGNOR REGIS, West Sussex, PO22 7PW","19/07/2013",NA,"Arun","PO22 7PW",-0.652244,50.79203
6453,"Licensing Act 2003","Premises Licence","Granted","Punch Partnerships (PTL) Ltd",NA,"Friary Arms","FRIARY ARMS, Shripney Road, BOGNOR REGIS, West Sussex, PO22 9LN","05/03/2018",NA,NA,"PO22 9LN",-0.669184,50.795326
